Landmark,Brightness,Central Occlusion,Contrast,Gaussian Noise,Mild Gaussian Blur,Strong Gaussian Blur
head_fc,-0.7139135069299257,55.999393779355884,-0.15078720831201242,43.69723514379718,0.6181542057446938,11.534791353531293
head_bl,0.08428516775983166,57.45662010152711,-0.04637496458126256,20.17337887949418,0.015403249887872273,6.036723581637224
head_br,-0.13125581792615024,42.46957846221924,-0.009626147100691495,36.58594286637232,0.39278593108087534,6.7462838931457565
thorax_fr,0.06370270589469548,43.1891445407036,0.26595214032026976,30.961189277682188,0.2999496078487728,6.518738417867527
thorax_fl,0.007090376263408471,42.66075363725032,0.10868551247095504,11.609317393510105,0.14759407352315906,5.693086568486292
thorax_bc,0.014810501314123693,50.91097298147436,0.2217672129340306,23.988489110885464,0.07288367089755161,2.36428625210298
abdomen,0.23704347847645213,50.839653566898754,0.116991932173148,39.78662252728418,0.034091666211346294,0.1216697938830589
leg_ml_in,0.06986165702577966,44.49234863829372,0.22159055234211297,11.060885387593634,0.18491085210089173,5.408998000446173
leg_ml_c,0.16763040941667393,43.00485534252155,0.05956406075668434,35.38970194400967,0.2620369711943109,5.577590971355695
 leg_mr_in,0.17250799113380916,49.64811684260864,0.3412092981708274,17.689063239992866,0.3171501043982241,6.16874102594748
leg_mr_c,0.289210354401501,58.448546507468755,0.14479757082400496,33.232249226223495,0.33276000038119635,4.869788524209035
leg_fl_tip,1.0832418435099134,38.194119857313495,-0.04221907476469631,37.674345496056375,1.4104712381687734,9.795519612440373
leg_ml_tip,3.163436811514179,39.86539204178711,0.2094873270369419,40.08939842229204,2.3146361203320636,9.936260087362172
leg_bl_tip,3.0013052872990302,36.37172078522686,0.11988517381183979,43.31067278989767,2.7550800612649033,9.906412614055068
leg_br_tip,3.1871543778550624,57.496378219152646,0.06920251968018362,41.25535297847662,2.9912779450111997,10.061368571588783
leg_mr_tip,5.319022016420948,58.32627696394993,1.0246661942537956,43.73641929748894,2.2418711543268537,12.185082492087853
leg_fr_tip,0.39539312229371715,32.38998110961474,-0.7244943975044291,33.270751223624984,1.8333382724726115,7.304708001999811
