Mean error (px),Median error (px),Std within run (px),90th percentile (px),95th percentile (px),PCK@5 (%),PCK@10 (%),PCK@20 (%),Run,Seed,Condition
3.535869428112699,1.4806565574542403,5.365882449571523,10.164114951670902,16.281073831790145,81.76610311583066,89.89800195612688,97.34525639234316,1,11,Baseline
4.712973293305421,2.147243727961879,6.1391556052040315,13.874389832064887,18.32435837819077,73.70406594942015,84.54659773648177,96.42308229705183,1,11,Mild Gaussian Blur
10.984486904199027,8.095769174966978,17.156705973874207,19.342123621130607,24.62318731560811,37.096548833310045,57.454240603604866,90.84812072097247,1,11,Strong Gaussian Blur
15.79043323994924,7.221758366915279,24.02283152624336,35.32547142711972,61.54793848501336,40.61757719714964,58.05505099902194,75.42266312700853,1,11,Gaussian Noise
4.0345024919776185,1.5840028200129526,7.185692593650164,8.410467096106531,16.243426757136085,79.32094452983094,91.84015649014951,96.04582925806902,1,11,Brightness
3.512434506363114,1.436904240366333,6.738483328090302,8.107276008221291,15.267449137785544,84.23920637138465,91.86810115970378,97.21950537934889,1,11,Contrast
42.85180769995347,41.48435772058743,16.711769394767366,62.27699801129252,71.63258504281269,0.05588933910856504,0.18164035210283638,8.453262540170464,1,11,Central Occlusion
5.957639491081365,1.9196664383557231,7.210126955092335,16.960627867460385,21.403968196755454,63.406455218667034,75.11527176191142,93.75436635461786,2,22,Baseline
6.182105956470347,2.450583608831834,7.039343197177534,16.963894770142833,21.50440262376313,61.059102976107305,75.25499510968284,93.39108565041218,2,22,Mild Gaussian Blur
13.696134924329137,9.959463524184201,19.244556754408837,23.964502704500145,31.76404425210702,33.79907782590471,50.174654184714264,82.40883051557915,2,22,Strong Gaussian Blur
43.703768581330195,17.628243479319675,49.65075030441506,133.008167422592,139.76200606330082,22.062316613106052,32.10842531787061,53.639793209445294,2,22,Gaussian Noise
5.532699264884805,1.7727388981394685,6.889569953383514,16.319775726353228,20.41920897798875,66.66200922174095,76.79195193516837,94.52284476736062,2,22,Brightness
5.994957321270779,1.949728518598574,7.301136178947151,17.068278815135248,21.781524303958747,64.24479530529551,75.2130781053514,93.46094732429789,2,22,Contrast
56.31466676372671,47.63398754255606,27.013286885489336,109.58337251688664,117.6290512655587,0.0,0.0698616738857063,2.4870755903311443,2,22,Central Occlusion
1.729344750935672,1.1546455756942318,4.19605823279652,2.4467110311913123,3.3499017783822516,97.05183736202319,98.4071538354059,99.27343859158866,3,33,Baseline
3.1963368803846364,1.5575781892061926,5.588080616376751,6.26396259670246,9.221406345943983,83.12141958921335,95.43104652787481,97.8622327790974,3,33,Mild Gaussian Blur
7.553287603057298,3.177838122700749,9.322604761764941,22.266773381350912,27.372083787351162,60.821573284895905,73.49448092776302,87.55064971356714,3,33,Strong Gaussian Blur
13.290948403813273,2.73688942637854,21.346710935804403,36.588459741529356,50.7009642795365,58.87941875087327,64.71985468771831,76.40072656140842,3,33,Gaussian Noise
3.5222813792669068,1.722162581864069,5.258144706261314,8.140956674856119,10.402002754292594,75.22705044012854,94.32723208048066,98.86824088305156,3,33,Brightness
1.8248579512781364,1.1307207563917556,4.871423596550201,2.6287079483258795,3.372977680014708,97.02389269246892,98.16962414419449,99.09179823948581,3,33,Contrast
49.63640503185473,44.51187418373776,20.249131361014868,82.88022359889617,89.82180989350545,0.0,0.08383400866284756,3.856364398490988,3,33,Central Occlusion
1.5094681874963753,0.956637906266195,3.409742672796568,2.360698969297363,3.361514991802869,97.13567137068604,98.4770155092916,99.48302361324576,4,44,Baseline
2.853142273856112,1.347665698706806,4.243253437030428,6.971919278238351,11.230382336016982,85.38493782311023,93.89408970238927,98.88221321782869,4,44,Mild Gaussian Blur
7.585360399385477,4.841604551444188,8.279808053328388,18.299531971896574,21.996051915678706,51.22257929299986,69.51236551627777,92.72041358110941,4,44,Strong Gaussian Blur
88.18502044382345,103.34830792383734,48.94052787745947,140.24532465787806,145.1576732795984,7.86642447953053,13.231801033952772,18.443481905826463,4,44,Gaussian Noise
2.8450125620165365,1.395767532985317,4.280903114716543,6.567749723609841,8.278395955794975,82.04554981137349,96.77239066648036,99.14768757859437,4,44,Brightness
1.5929111899180843,1.018847255397973,3.251802474839658,2.294995706881069,3.7511359576365457,96.47897163616041,98.16962414419449,99.39918960458293,4,44,Contrast
43.1767451238238,34.1160613055428,26.034421764763906,81.9108760292628,105.78719275659957,0.09780634343998881,0.5030040519770853,9.501187648456057,4,44,Central Occlusion
1.3787765604527762,0.8595117666724202,3.7708891890037743,1.891406115771396,2.627613970475118,97.13567137068604,98.63071119184016,99.49699594802291,5,55,Baseline
1.9384209331345221,1.0697332565627677,4.124798139643161,3.244687316811211,6.018050417455043,93.89408970238927,97.16361604024031,99.13371524381725,5,55,Mild Gaussian Blur
9.653607928915768,4.855750847723781,14.563565998726267,22.906971022203084,30.40571647929104,50.67765823669135,69.3866145032835,86.58655861394439,5,55,Strong Gaussian Blur
12.997108691716262,4.295557188865741,20.469096083754838,33.38463671632645,42.29457964505845,51.92119603185692,62.13497275394718,78.24507475199105,5,55,Gaussian Noise
3.0032282422045076,1.2288134779825846,6.003575801168228,6.219537180850768,13.164877000801575,87.73229006566997,93.44697498952075,97.07978203157748,5,55,Brightness
1.753672067634567,1.0157721445546046,4.309677134761318,2.4176837836657183,4.0471987623584225,95.82227190163476,97.61073075310884,99.06385356993154,5,55,Contrast
57.94437185088688,57.852131150370944,18.13715462348023,81.60050622886344,86.33318783153594,0.18164035210283638,0.265474360765684,0.9221740952913232,5,55,Central Occlusion
