Run,Seed,Condition,Baseline mean error (px),Perturbed mean error (px),Absolute change (px),Relative change (%)
1,11,Mild Gaussian Blur,3.535869428112699,4.712973293305421,1.1771038651927217,33.290365753721034
1,11,Strong Gaussian Blur,3.535869428112699,10.984486904199027,7.448617476086328,210.65872559841932
1,11,Gaussian Noise,3.535869428112699,15.79043323994924,12.25456381183654,346.5785165708882
1,11,Brightness,3.535869428112699,4.0345024919776185,0.49863306386491946,14.102134538691638
1,11,Contrast,3.535869428112699,3.512434506363114,-0.023434921749585058,-0.6627767859090219
1,11,Central Occlusion,3.535869428112699,42.85180769995347,39.31593827184077,1111.917141488621
2,22,Mild Gaussian Blur,5.957639491081365,6.182105956470347,0.22446646538898207,3.76770809521137
2,22,Strong Gaussian Blur,5.957639491081365,13.696134924329137,7.738495433247771,129.89197222880577
2,22,Gaussian Noise,5.957639491081365,43.703768581330195,37.74612909024883,633.5752464840326
2,22,Brightness,5.957639491081365,5.532699264884805,-0.42494022619656047,-7.132694531663077
2,22,Contrast,5.957639491081365,5.994957321270779,0.037317830189413925,0.6263861760228866
2,22,Central Occlusion,5.957639491081365,56.31466676372671,50.35702727264535,845.2513339894135
3,33,Mild Gaussian Blur,1.729344750935672,3.1963368803846364,1.4669921294489643,84.82936260426035
3,33,Strong Gaussian Blur,1.729344750935672,7.553287603057298,5.823942852121626,336.7716500119799
3,33,Gaussian Noise,1.729344750935672,13.290948403813273,11.5616036528776,668.5540084833939
3,33,Brightness,1.729344750935672,3.5222813792669068,1.7929366283312347,103.67722383643608
3,33,Contrast,1.729344750935672,1.8248579512781364,0.09551320034246435,5.523086145245844
3,33,Central Occlusion,1.729344750935672,49.63640503185473,47.907060280919055,2770.2434841288105
4,44,Mild Gaussian Blur,1.5094681874963753,2.853142273856112,1.3436740863597367,89.01638984445064
4,44,Strong Gaussian Blur,1.5094681874963753,7.585360399385477,6.0758922118891014,402.5187322408338
4,44,Gaussian Noise,1.5094681874963753,88.18502044382345,86.67555225632707,5742.12513879397
4,44,Brightness,1.5094681874963753,2.8450125620165365,1.3355443745201612,88.47780864698537
4,44,Contrast,1.5094681874963753,1.5929111899180843,0.08344300242170899,5.52797356796957
4,44,Central Occlusion,1.5094681874963753,43.1767451238238,41.667276936327426,2760.394507249427
5,55,Mild Gaussian Blur,1.3787765604527762,1.9384209331345221,0.5596443726817459,40.58992506356247
5,55,Strong Gaussian Blur,1.3787765604527762,9.653607928915768,8.274831368462992,600.1575313802565
5,55,Gaussian Noise,1.3787765604527762,12.997108691716262,11.618332131263486,842.6551817393926
5,55,Brightness,1.3787765604527762,3.0032282422045076,1.6244516817517314,117.81834187972255
5,55,Contrast,1.3787765604527762,1.753672067634567,0.37489550718179077,27.190446801523727
5,55,Central Occlusion,1.3787765604527762,57.94437185088688,56.5655952904341,4102.593336215299
